Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,golang get1,2528,0,120.0,314.5402257488191,1.8839490003301762,1391.6365850000147,38.0,27.04038391834857,0.0,120,480,610,690,830,930,1100,1100,1400,1400,1400
GET,golang get2,2551,0,130.0,313.6537748925955,1.8735800003923941,1388.3232190000854,38.0,27.286400069504435,0.0,130,490,610,680,800,910,1100,1100,1400,1400,1400
GET,golang get3,2552,0,63,296.05820279546003,1.6066190000856295,1399.1565750002337,38.0,27.297096423902513,0.0,63,470,590,660,790,900,1100,1100,1400,1400,1400
POST,golang post1,2588,0,99,304.75547803709685,1.710016999822983,1383.8002720003715,47.0,27.682165182233426,0.0,100,470,600,670,800,920,1100,1200,1400,1400,1400
POST,golang post2,2573,0,64,301.8118087889637,1.7371549993185909,1390.3066180000678,47.0,27.521719866262213,0.0,64,480,600,670,790,910,1100,1100,1400,1400,1400
POST,golang post3,2540,0,81,302.5222751791382,1.6777950004325248,1396.1699680003221,47.0,27.168740171125542,0.0,82,470,600,670,800,920,1100,1100,1400,1400,1400
GET,node get1,2454,0,110.0,312.5653079633291,2.6897560001089005,1400.3627230003985,0.0,26.248853692890584,0.0,110,490,600,660,810,910,1100,1200,1400,1400,1400
GET,node get2,2477,0,150.0,329.7274292458693,2.5626699998611002,1395.3682889996344,0.0,26.494869844046445,0.0,150,530,630,700,840,940,1100,1200,1400,1400,1400
POST,node post1,2453,0,110.0,317.9572523978697,2.7593320000960375,1391.3718889998563,11.0,26.238157338492503,0.0,110,500,620,690,820,910,1100,1100,1400,1400,1400
POST,node post2,2501,0,170.0,327.47154740184084,3.004406999934872,1377.998013999786,11.0,26.751582349600387,0.0,170,520,630,690,810,920,1100,1200,1400,1400,1400
,Aggregated,25217,0,100.0,311.98120840207434,1.6066190000856295,1400.3627230003985,28.01360193520244,269.72996885640663,0.0,100,490,610,680,810,920,1100,1100,1400,1400,1400
